"deployid","cee_id","cee_type","cee_source_vessel","focal_animals","date_YYYYMMDD","start_HHMMSS","end_HHMMSS","lon_start","lat_start","lon_end","lat_end","cee_st","cee_en","loc_st","loc_en","beh_st","beh_en","ser_st","ser_en","deploy_datenum","loc","beh","ser","beh_gaps","ser_gaps","datetime_string_max_spl","lower_025_spl","median_spl","upper_975_spl","rl_bin_spl","lower_025_csel","median_csel","upper_975_csel","datetime_string_range","crawltype_range","lower_025_range_km","median_range_km","upper_975_range_km","exposure_event","cee_st_posix","cee_en_posix","loc_st_posix","loc_en_posix","beh_st_posix","beh_en_posix","ser_st_posix","ser_en_posix","deploy_posix"
"Zc17_234a","17_01","simulated mfas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">120",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zc19_218a","19_03","simulated mfas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">120",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zc20_232a","20_03","simulated mfas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,">120",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZcTag060","17_01","simulated mfas","Kahuna","Zc17_234a;Gm17_234a",20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639,1503427260,1503428040,1503011222,1505965537,1502990400,1505708012,NA,NA,1502990400,TRUE,TRUE,FALSE,NA,NA,"2017-08-22T18:50:00Z",81.5471105193057,95.5375797706793,121.519080544574,"<100",103.007805516809,107.537012102458,121.570239588984,"2017-08-22T18:41:00Z","regular",31.9764923531887,39.8382916412388,54.3780368842738,TRUE,2017-08-22 18:41:00,2017-08-22 18:54:00,2017-08-17 23:07:02,2017-09-21 03:45:37,2017-08-17 17:20:00,2017-09-18 04:13:32,NA,NA,2017-08-17 17:20:00
"ZcTag060","17_02","real mfas","USS Macfaul","ZcTag068;GmTag182",20170912,160346,170246,-74.2597,36.075,-74.73467,35.9503,1505232226,1505235766,1503011222,1505965537,1502990400,1505708012,NA,NA,1502990400,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2017-09-12 16:03:46,2017-09-12 17:02:46,2017-08-17 23:07:02,2017-09-21 03:45:37,2017-08-17 17:20:00,2017-09-18 04:13:32,NA,NA,2017-08-17 17:20:00
"ZcTag061","17_01","simulated mfas","Kahuna","Zc17_234a;Gm17_234a",20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639,1503427260,1503428040,1503019306,1506814112,1502993280,1506747676,NA,NA,1502993340,TRUE,TRUE,FALSE,NA,NA,"2017-08-22T18:54:00Z",92.8511881902383,115.683682317334,132.74115786767,"100-120",99.0829056937281,123.602469186845,139.31431221406,"2017-08-22T18:41:00Z","regular",7.86042452033217,17.4130282605686,34.2769466978894,TRUE,2017-08-22 18:41:00,2017-08-22 18:54:00,2017-08-18 01:21:46,2017-09-30 23:28:32,2017-08-17 18:08:00,2017-09-30 05:01:16,NA,NA,2017-08-17 18:09:00
"ZcTag061","17_02","real mfas","USS Macfaul","ZcTag068;GmTag182",20170912,160346,170246,-74.2597,36.075,-74.73467,35.9503,1505232226,1505235766,1503019306,1506814112,1502993280,1506747676,NA,NA,1502993340,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2017-09-12 16:03:46,2017-09-12 17:02:46,2017-08-18 01:21:46,2017-09-30 23:28:32,2017-08-17 18:08:00,2017-09-30 05:01:16,NA,NA,2017-08-17 18:09:00
"ZcTag062","17_01","simulated mfas","Kahuna","Zc17_234a;Gm17_234a",20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639,1503427260,1503428040,1503011398,1504035568,1503005460,1503943940,NA,NA,1503005520,TRUE,TRUE,FALSE,NA,NA,"2017-08-22T18:54:00Z",116.890072117654,136.252362293842,150.504906067623,">120",124.926757628508,146.852275692174,161.096263766728,"2017-08-22T18:41:00Z","regular",0.707077778483931,3.63877529782166,7.50319290645044,TRUE,2017-08-22 18:41:00,2017-08-22 18:54:00,2017-08-17 23:09:58,2017-08-29 19:39:28,2017-08-17 21:31:00,2017-08-28 18:12:20,NA,NA,2017-08-17 21:32:00
"ZcTag063","17_01","simulated mfas","Kahuna","Zc17_234a;Gm17_234a",20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639,1503427260,1503428040,1503264067,1505861085,1503248040,1505489082,NA,NA,1503247980,TRUE,TRUE,FALSE,NA,NA,"2017-08-22T18:54:00Z",87.634367467768,118.524028372289,139.286741982626,"100-120",102.080061248532,128.70806542718,146.024324495234,"2017-08-22T18:41:00Z","regular",5.59231186403338,18.8682153077032,35.7855100364837,TRUE,2017-08-22 18:41:00,2017-08-22 18:54:00,2017-08-20 21:21:07,2017-09-19 22:44:45,2017-08-20 16:54:00,2017-09-15 15:24:42,NA,NA,2017-08-20 16:53:00
"ZcTag063","17_02","real mfas","USS Macfaul","ZcTag068;GmTag182",20170912,160346,170246,-74.2597,36.075,-74.73467,35.9503,1505232226,1505235766,1503264067,1505861085,1503248040,1505489082,NA,NA,1503247980,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2017-09-12 16:03:46,2017-09-12 17:02:46,2017-08-20 21:21:07,2017-09-19 22:44:45,2017-08-20 16:54:00,2017-09-15 15:24:42,NA,NA,2017-08-20 16:53:00
"ZcTag064","17_01","simulated mfas","Kahuna","Zc17_234a;Gm17_234a",20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639,1503427260,1503428040,1503269712,1506251502,1503250920,1505442718,NA,NA,1503250860,TRUE,TRUE,FALSE,NA,NA,"2017-08-22T18:54:00Z",110.074810785491,128.932740612828,146.087949968449,">120",118.05628904842,138.722964261839,156.944692977625,"2017-08-22T18:41:00Z","regular",1.38054735962627,8.71002930979187,16.5152015163413,TRUE,2017-08-22 18:41:00,2017-08-22 18:54:00,2017-08-20 22:55:12,2017-09-24 11:11:42,2017-08-20 17:42:00,2017-09-15 02:31:58,NA,NA,2017-08-20 17:41:00
"ZcTag064","17_02","real mfas","USS Macfaul","ZcTag068;GmTag182",20170912,160346,170246,-74.2597,36.075,-74.73467,35.9503,1505232226,1505235766,1503269712,1506251502,1503250920,1505442718,NA,NA,1503250860,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2017-09-12 16:03:46,2017-09-12 17:02:46,2017-08-20 22:55:12,2017-09-24 11:11:42,2017-08-20 17:42:00,2017-09-15 02:31:58,NA,NA,2017-08-20 17:41:00
"ZcTag065","17_01","simulated mfas","Kahuna","Zc17_234a;Gm17_234a",20170822,184100,185400,-74.7699,35.5475,-74.7511,35.5639,1503427260,1503428040,1503480485,1504524833,1503421740,1504494588,NA,NA,1503421740,TRUE,TRUE,FALSE,NA,NA,"2017-08-22T18:54:00Z",118.375788464817,136.336377078193,148.420339051936,">120",130.672888015812,144.333189371885,160.651295709577,"2017-08-22T18:41:00Z","regular",0.580646080909288,2.14885489157483,5.55626859449899,TRUE,2017-08-22 18:41:00,2017-08-22 18:54:00,2017-08-23 09:28:05,2017-09-04 11:33:53,2017-08-22 17:09:00,2017-09-04 03:09:48,NA,NA,2017-08-22 17:09:00
"ZcTag069","18_02","simulated mfas","Kahuna","Gm18_145a;GmTag197",20180525,163300,170300,-74.73924,35.66087,-74.73707,35.66393,1527265980,1527267780,1527248145,1530533394,NA,NA,1527176100,1528329300,1527175800,TRUE,FALSE,TRUE,NA,NA,"2018-05-25T16:45:00Z",87.0591120281444,101.799181871248,110.925392022354,"100-120",112.8152674108,118.054921296354,127.248111240271,"2018-05-25T16:33:00Z","rejection_sampler",16.5471720126081,20.5769155544786,27.440189090469,TRUE,2018-05-25 16:33:00,2018-05-25 17:03:00,2018-05-25 11:35:45,2018-07-02 12:09:54,NA,NA,2018-05-24 15:35:00,2018-06-06 23:55:00,2018-05-24 15:30:00
"ZcTag069","18_03","simulated mfas","Kahuna","Gm18_150b",20180530,174900,181900,-74.81288,35.87765,-74.82071,35.88489,1527702540,1527704340,1527248145,1530533394,NA,NA,1527176100,1528329300,1527175800,TRUE,FALSE,TRUE,NA,NA,"2018-05-30T18:10:00Z",112.385200840311,141.64720398096,148.447378392308,">120",153.612436088809,158.916195823013,163.723230054125,"2018-05-30T17:49:00Z","rejection_sampler",1.83711968449688,3.83034292788182,6.35790330306127,TRUE,2018-05-30 17:49:00,2018-05-30 18:19:00,2018-05-25 11:35:45,2018-07-02 12:09:54,NA,NA,2018-05-24 15:35:00,2018-06-06 23:55:00,2018-05-24 15:30:00
"ZcTag069","18_04","real mfas","USS Nitze","ZcTag069;ZcTag070;GmTag198;GmTag201;GmTag202",20180603,160004,170004,-74.36027,35.85405,-74.42361,35.75417,1528041604,1528045204,1527248145,1530533394,NA,NA,1527176100,1528329300,1527175800,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2018-06-03 16:00:04,2018-06-03 17:00:04,2018-05-25 11:35:45,2018-07-02 12:09:54,NA,NA,2018-05-24 15:35:00,2018-06-06 23:55:00,2018-05-24 15:30:00
