"DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","What","Number","Shape","DepthMin","DepthMax","DurationMin","DurationMax","Shallow","Deep","original"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503005460,1503034366,"Message",8,"",NA,NA,28898,28914,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503005460,1503005500,"Surface",NA,"",NA,NA,39,41,3,37,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503005500,1503010430,"Dive",1,"U",1312,1343,4929,4931,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503010430,1503015900,"Surface",NA,"",NA,NA,5469,5471,176,5294,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503015900,1503019880,"Dive",1,"U",1696,1727,3979,3981,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503019880,1503023778,"Surface",NA,"",NA,NA,3897,3899,126,3772,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503023778,1503027406,"Dive",1,"U",1472,1503,3627,3629,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503027406,1503030040,"Surface",NA,"",NA,NA,2633,2635,85,2549,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",17,1503030040,1503034366,"Dive",1,"U",1536,1567,4325,4327,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503034380,1503083578,"Message",8,"",NA,NA,49190,49206,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503034380,1503041790,"Surface",NA,"",NA,NA,7409,7411,239,7171,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503041790,1503046948,"Dive",1,"U",1440,1471,5157,5159,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503046948,1503056298,"Surface",NA,"",NA,NA,9349,9351,302,9048,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503056298,1503061042,"Dive",1,"V",1632,1663,4743,4745,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503061042,1503067242,"Surface",NA,"",NA,NA,6199,6201,200,6000,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503067242,1503071802,"Dive",1,"U",1472,1503,4559,4561,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503071802,1503079568,"Surface",NA,"",NA,NA,7765,7767,251,7515,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",9,1503079568,1503083578,"Dive",1,"U",1568,1599,4009,4011,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503083580,1503122556,"Message",8,"",NA,NA,38968,38984,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503083580,1503089162,"Surface",NA,"",NA,NA,5581,5583,180,5402,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503089162,1503092960,"Dive",1,"U",1664,1695,3797,3799,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503092960,1503103226,"Surface",NA,"",NA,NA,10265,10267,331,9935,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503103226,1503107392,"Dive",1,"Square",1120,1151,4165,4167,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503107392,1503110028,"Surface",NA,"",NA,NA,2635,2637,85,2551,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503110028,1503113940,"Dive",1,"U",1472,1503,3911,3913,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503113940,1503118626,"Surface",NA,"",NA,NA,4685,4687,151,4535,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",19,1503118626,1503122556,"Dive",1,"U",1376,1407,3929,3931,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",14,1503122520,1503169554,"Message",8,"",NA,NA,47026,47042,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",14,1503122520,1503128864,"Surface",NA,"",NA,NA,6343,6345,205,6139,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",14,1503128864,1503131952,"Dive",1,"U",1440,1471,3087,3089,NA,NA,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",14,1503131952,1503144272,"Surface",NA,"",NA,NA,12319,12321,397,11923,"portal"
"ZcTag062",171170,1,"Transmission","Mk10",14,1503144272,1503148072,"Dive",1,"V",1696,1727,3799,3801,NA,NA,"portal"
