"DeployID","Ptt","Instr","Date","Type","Quality","Latitude","Longitude","Error.radius","Error.Semi.major.axis","Error.Semi.minor.axis","Error.Ellipse.orientation","Offset","Offset.orientation","GPE.MSD","GPE.U","Count","Comment","originaldate"
"ZcTag065",171933,"Mk10",1503480485,"Argos","1",38.8171,-91.282,558,4463,69,99,NA,NA,NA,NA,NA,"","09:28:05 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503480485,"Argos","0",41.2581,-43.662,19882,203167,1945,86,NA,NA,NA,NA,NA,"","09:28:05 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503486733,"Argos","0",35.5595,-74.871,1731,10832,276,70,NA,NA,NA,NA,NA,"","11:12:13 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503498259,"Argos","2",35.5307,-74.7527,352,438,282,32,NA,NA,NA,NA,NA,"","14:24:19 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503501602,"Argos","1",35.5287,-74.8991,951,8765,103,107,NA,NA,NA,NA,NA,"","15:20:02 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503504071,"Argos","Z",35.5726,-74.2562,24842,443944,1390,104,NA,NA,NA,NA,NA,"","16:01:11 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503515344,"Argos","1",35.6858,-74.653,1240,5459,281,120,NA,NA,NA,NA,NA,"","19:09:04 23-Aug-2017"
"ZcTag065",171933,"Mk10",1503538976,"Argos","A",35.7308,-74.8083,2083,7053,615,48,NA,NA,NA,NA,NA,"","01:42:56 24-Aug-2017"
"ZcTag065",171933,"Mk10",1503566107,"Argos","A",35.5915,-74.7544,10700,173791,658,114,NA,NA,NA,NA,NA,"","09:15:07 24-Aug-2017"
"ZcTag065",171933,"Mk10",1503571478,"Argos","Z",36.3041,-73.4251,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","10:44:38 24-Aug-2017"
"ZcTag065",171933,"Mk10",1503583376,"Argos","0",35.5762,-74.8148,2659,20760,340,168,NA,NA,NA,NA,NA,"","14:02:56 24-Aug-2017"
"ZcTag065",171933,"Mk10",1503600822,"Argos","Z",34.8749,-75.7888,352883,NA,NA,NA,NA,NA,NA,NA,NA,"","18:53:42 24-Aug-2017"
"ZcTag065",171933,"Mk10",1503615311,"Argos","A",35.3927,-74.7667,76088,591246,9791,64,NA,NA,NA,NA,NA,"","22:55:11 24-Aug-2017"
"ZcTag065",171933,"Mk10",1503624249,"Argos","0",35.4797,-74.7468,3515,30387,406,88,NA,NA,NA,NA,NA,"","01:24:09 25-Aug-2017"
"ZcTag065",171933,"Mk10",1503629992,"Argos","0",35.5373,-74.7777,46465,NA,NA,NA,NA,NA,NA,NA,NA,"","02:59:52 25-Aug-2017"
"ZcTag065",171933,"Mk10",1503668737,"Argos","0",35.3551,-74.5733,23874,660380,863,88,NA,NA,NA,NA,NA,"","13:45:37 25-Aug-2017"
"ZcTag065",171933,"Mk10",1503686482,"Argos","Z",35.056,-76.2175,95771,NA,NA,NA,NA,NA,NA,NA,NA,"","18:41:22 25-Aug-2017"
