ptt,hex,serial,tag_model,deployid,catalog_ID_DUML,BRS_season,deploydate_yyyymmdd,deploytime_hhmm,species,location,tagger,permit,tagtype,longitude,latitude,tagside,taglocation,taglocationnotes,programming_basic_descriptor,notes,recorder,age,sex,agesex_conf,headshot,agesex_reason,appearance_notes,deployday_datenum,deployid_basename,cutoff_basic_datenum,cutoff_behavior_datenum,cutoff_series_datenum
53643,7CB7DBE,15A1024,SPLASH10-292,ZcTag054,Zca_029_HAT,BRS1_Spring2017,20170510,1617,Zca,Hatteras,DLW,Baird 17086,SPLASH10,-74.71151167,35.58049,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth (eroded teeth),,1494374400,ZcTag054,NA,NA,NA
171166,0A1FBE1,16A0768,SPLASH10-292,ZcTag055,Zca_030_HAT,BRS1_Spring2017,20170510,1637,Zca,Hatteras,DLW,Baird 17086,SPLASH10,-74.7115733,35.57485,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth (just erupted),,1494374400,ZcTag055,NA,NA,NA
171165,0A1FBD4,16A0767,SPLASH10-292,ZcTag056,Zca_031_HAT,BRS1_Spring2017,20170510,1859,Zca,Hatteras,DLW,Baird 17086,SPLASH10,-74.704615,35.5348167,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth,,1494374400,ZcTag056,NA,NA,NA
171167,0A1FBF2,16A0769,SPLASH10-292,ZcTag057,Zca_Rakes_050_HAT,BRS1_Spring2017,20170516,1749,Zca,Hatteras,DLW,Baird 17086,SPLASH10,-74.69643167,35.639105,,,,Zca_BRS_behavior,,wrc,u,u,,1,low scarring; brown; no teeth,,1494892800,ZcTag057,NA,NA,NA
171164,0A1FBC7,16A0279,SPLASH10-292,ZcTag058,Zca_Rakes_051_HAT,BRS1_Spring2017,20170516,1948,Zca,Hatteras,DLW,Baird 17086,SPLASH10,-74.71477833,35.57668833,left,dorsal,,Zca_BRS_behavior,,wrc,u,u,,0,low scarring; brown,,1494892800,ZcTag058,NA,NA,NA
171932,14E6DC7,17A0452,SPLASH10-292,ZcTag060,Zca_Rakes_067_HAT,BRS2_fall2017,20170817,1720,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.75677833,35.589515,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth,,1502928000,ZcTag060,1505986006,1505693213,NA
171931,14E6DBE,17A0451,SPLASH10-292,ZcTag061,Zca_041_HAT,BRS2_fall2017,20170817,1809,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.7293867,35.605255,,,,Zca_BRS_behavior,,wrc,u,u,,1,low scarring; brown; no teeth,,1502928000,ZcTag061,1506822791,1506722842,NA
171170,0A27C26,16A0772,SPLASH10-292,ZcTag062,Zca_042_HAT,BRS2_fall2017,20170817,2132,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.7078,35.6421933,,,,Zca_BRS_behavior,,wrc,u,u,,1,low scarring; brown; no teeth,,1502928000,ZcTag062,1504055675,1503958308,NA
171934,14E6DE1,17A0454,SPLASH10-292,ZcTag063,Zca_044_HAT,BRS2_fall2017,20170820,1653,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.71815167,35.5409867,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth,,1503187200,ZcTag063,1505898315,1505555344,NA
171944,154178B,17A0345,SPLASH10-292,ZcTag064,Zca_045_HAT,BRS2_fall2017,20170820,1741,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.70881,35.5252633,,,,Zca_BRS_behavior,,wrc,u,u,,low quality,low scarring; brown; no teeth (?),,1503187200,ZcTag064,1506293164,1505442661,NA
171933,14E6DD4,17A0453,SPLASH10-292,ZcTag065,Zca_046_HAT,BRS2_fall2017,20170822,1709,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.790435,35.5250767,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth,damaged jaw,1503360000,ZcTag065,1504526177,1504526177,NA
171930,14E6DAD,17A0450,SPLASH10-292,ZcTag066,Zca_047_HAT,BRS2_fall2017,20170904,1414,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.747845,35.58682,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth (just erupted),,1504483200,ZcTag066,1507850438,1506691218,NA
171169,0A27C13,16A0771,SPLASH10-292,ZcTag067,Zca_Rakes_073_HAT,BRS2_fall2017,20170904,1452,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.72643833,35.59647,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth,,1504483200,ZcTag067,1508206784,1504812752,NA
171947,15417BE,17A0348,SPLASH10-292,ZcTag068,Zca_037_HAT,BRS2_fall2017,20170904,1615,Zca,Hatteras,DLW,Baird 20605,SPLASH10,-74.75422,35.57637833,,,,Zca_BRS_behavior,,wrc,a,m,High,1,erupted teeth,,1504483200,ZcTag068,1507939624,1507678152,NA
