hex,date,datenum,gonio_bearing_deg,strength_db,platform,ptt,deployid,lon,lat,boat_bearing_deg,boat_speed_kph,gps_gonio_time_difference_s
14E6DC7,2017-08-17T17:42:54Z,1502991774,201,-99,barber,171932,ZcTag060,-74.7559253219515,35.5898568313569,32.5929316586726,1.70448950641186,2
14E6DC7,2017-08-17T17:43:31Z,1502991811,14,-110,barber,171932,ZcTag060,-74.7555785626173,35.5897403229028,83.055287488132,16.4189332069928,2
14E6DC7,2017-08-17T17:43:51Z,1502991831,7,-113,barber,171932,ZcTag060,-74.7546800225973,35.590303838253,52.3601503643012,28.4136694617269,-5
14E6DC7,2017-08-17T17:44:07Z,1502991847,15,-110,barber,171932,ZcTag060,-74.7552217,35.589975,50.0615765474977,27.4758714110777,-0.815000057220459
14E6DC7,2017-08-17T17:44:25Z,1502991865,10,-104,barber,171932,ZcTag060,-74.7535317,35.5909133,56.4253620259829,35.6092675978369,0.13100004196167
14E6DC7,2017-08-17T17:44:42Z,1502991882,17,-100,barber,171932,ZcTag060,-74.751895,35.5918017,56.3158776826315,39.6149917689131,-0.0169999599456787
14E6DC7,2017-08-17T18:07:02Z,1502993222,8,-49,barber,171932,ZcTag060,-74.7329283,35.6053267,110.251139789058,36.732150992108,-0.355000019073486
14E6DC7,2017-08-17T18:07:39Z,1502993259,72,-54,barber,171932,ZcTag060,-74.730785,35.6043533,112.930254604449,13.7016883162359,0.391000032424927
14E6DBE,2017-08-17T18:28:04Z,1502994484,277,-91,barber,171931,ZcTag061,-74.7252595424652,35.6099170725793,173.531753031603,1.57395724251107,1
14E6DC7,2017-08-17T18:28:07Z,1502994487,286,-90,barber,171932,ZcTag060,-74.7252595424652,35.6099170725793,173.531753031603,1.57395724251107,-2
14E6DBE,2017-08-17T18:28:21Z,1502994501,344,-99,barber,171931,ZcTag061,-74.7251511644572,35.6097813695669,142.231024288031,8.13262749805115,-1
14E6DC7,2017-08-17T18:28:42Z,1502994522,355,-87,barber,171932,ZcTag060,-74.723204718902707,35.609461851418,101.69044584432,40.41978742501,-2
14E6DC7,2017-08-17T18:28:56Z,1502994536,354,-82,barber,171932,ZcTag060,-74.7245783,35.6096833,97.5089469235086,27.9437094309525,0.944999933242798
14E6DBE,2017-08-17T18:29:00Z,1502994540,343,-85,barber,171931,ZcTag061,-74.72427,35.60964,99.8011204633156,32.2729832007831,0.0999999046325684
14E6DC7,2017-08-17T18:29:16Z,1502994556,5,-77,barber,171932,ZcTag060,-74.7224917,35.6093583,98.6211113395011,40.0709301764983,-0.91700005531311
14E6DBE,2017-08-17T18:29:19Z,1502994559,343,-74,barber,171931,ZcTag061,-74.721895,35.6092933,97.4072895961644,42.7501629728911,0.726999998092651
14E6DC7,2017-08-17T18:29:31Z,1502994571,346,-57,barber,171932,ZcTag060,-74.720455,35.6090933,101.318530317397,46.613344269391,-0.867000102996826
14E6DBE,2017-08-17T18:54:06Z,1502996046,110,-76,barber,171931,ZcTag061,-74.7032795939595,35.6109745334834,35.0088663373866,1.7928202808867,7
14E6DC7,2017-08-17T18:54:42Z,1502996082,359,-71,barber,171932,ZcTag060,-74.7042683232576,35.6115732528269,317.648913042943,20.0189734654023,3
14E6DBE,2017-08-17T18:54:54Z,1502996094,335,-70,barber,171931,ZcTag061,-74.703565,35.6109367,298.117735587197,3.02588305694632,2.97499990463257
14E6DC7,2017-08-17T18:55:02Z,1502996102,352,-56,barber,171932,ZcTag060,-74.7037867,35.6111017,315.80530581242,19.2353886122249,0.661999940872192
14E6DC7,2017-08-17T19:14:37Z,1502997277,232,-85,barber,171932,ZcTag060,-74.6971746347845,35.6199059542269,43.6754276785976,2.06697711335948,1
14E6DC7,2017-08-17T19:15:12Z,1502997312,19,-90,barber,171932,ZcTag060,-74.6961248852313,35.6204437371343,44.7109443221261,30.0844663150477,-7
14E6DBE,2017-08-17T19:15:14Z,1502997314,346,-88,barber,171931,ZcTag061,-74.6970267,35.619855,73.2127331799547,2.58123308118548,5.05200004577637
14E6DBE,2017-08-17T19:15:29Z,1502997329,353,-82,barber,171931,ZcTag061,-74.6964283,35.62021,43.6594489984308,28.5488269802819,0.578999996185303
