cee_id,rl_time,timepoint,lat,lon,source_level,paths,files
17_01,2017-08-22T18:41:00Z,1,35.5475,-74.77,160dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1701/CEE1701_0001_RLbinned_updated.nc,CEE1701_0001_RLbinned_updated.nc
17_01,2017-08-22T18:45:00Z,2,35.552499999999995,-74.76388888888889,1.888000e+02dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1701/CEE1701_0002_RLbinned_updated.nc,CEE1701_0002_RLbinned_updated.nc
17_01,2017-08-22T18:50:00Z,3,35.584722222222226,-74.7575,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1701/CEE1701_0003_RLbinned_updated.nc,CEE1701_0003_RLbinned_updated.nc
17_01,2017-08-22T18:54:00Z,4,35.56388888888888,-74.75111111111111,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1701/CEE1701_0004_RLbinned_updated.nc,CEE1701_0004_RLbinned_updated.nc
18_02,2018-05-25T16:33:00Z,1,35.66083333333333,-74.73916666666666,160dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0001_RLbinned_updated.nc,CEE1802_0001_RLbinned_updated.nc
18_02,2018-05-25T16:35:00Z,2,35.66111111111111,-74.73916666666666,1.744000e+02dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0002_RLbinned_updated.nc,CEE1802_0002_RLbinned_updated.nc
18_02,2018-05-25T16:40:00Z,3,35.66138888888889,-74.7388888888889,2.104000e+02dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0003_RLbinned_updated.nc,CEE1802_0003_RLbinned_updated.nc
18_02,2018-05-25T16:45:00Z,4,35.661944444444444,-74.73861111111111,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0004_RLbinned_updated.nc,CEE1802_0004_RLbinned_updated.nc
18_02,2018-05-25T16:50:00Z,5,35.6625,-74.73805555555556,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0005_RLbinned_updated.nc,CEE1802_0005_RLbinned_updated.nc
18_02,2018-05-25T16:55:00Z,6,35.66305555555555,-74.73777777777778,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0006_RLbinned_updated.nc,CEE1802_0006_RLbinned_updated.nc
18_02,2018-05-25T17:00:00Z,7,35.66361111111111,-74.73722222222223,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0007_RLbinned_updated.nc,CEE1802_0007_RLbinned_updated.nc
18_02,2018-05-25T17:03:00Z,8,35.663888888888884,-74.73722222222223,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1802/CEE1802_0008_RLbinned_updated.nc,CEE1802_0008_RLbinned_updated.nc
18_03,2018-05-30T17:49:00Z,1,35.87777777777778,-74.81277777777777,160dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0001_RLbinned_updated.nc,CEE1803_0001_RLbinned_updated.nc
18_03,2018-05-30T17:55:00Z,2,35.87916666666667,-74.81333333333333,196dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0002_RLbinned_updated.nc,CEE1803_0002_RLbinned_updated.nc
18_03,2018-05-30T18:00:00Z,3,35.88111111111111,-74.81444444444445,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0003_RLbinned_updated.nc,CEE1803_0003_RLbinned_updated.nc
18_03,2018-05-30T18:05:00Z,4,35.88138888888889,-74.81555555555555,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0004_RLbinned_updated.nc,CEE1803_0004_RLbinned_updated.nc
18_03,2018-05-30T18:10:00Z,5,35.8825,-74.81666666666666,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0005_RLbinned_updated.nc,CEE1803_0005_RLbinned_updated.nc
18_03,2018-05-30T18:15:00Z,6,35.88388888888889,-74.81861111111111,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0006_RLbinned_updated.nc,CEE1803_0006_RLbinned_updated.nc
18_03,2018-05-30T18:20:00Z,7,35.885,-74.82083333333333,212dB,/Users/rob/Documents/_research/projects/brs/rl_eda/data/cee_1803/CEE1803_0007_RLbinned_updated.nc,CEE1803_0007_RLbinned_updated.nc
