"SPL_rms","SPL_Peak","SNR"
"NaN","NaN",0.941466
"NaN","NaN",7.43757
"NaN","NaN",6.628562
"NaN","NaN",6.874182
93.5233633,94.9337199,12.98689
96.8010862,97.4620952,16.87103
97.5191975,98.0774671,16.72747
100.769878,101.525976,20.3166
102.362744,102.883825,22.28218
97.617684,101.150894,17.85441
107.275866,107.631715,25.60435
107.483944,108.32624,26.51395
115.325293,115.887381,35.4546
123.452715,123.585303,43.28413
112.35369,115.476708,31.95118
116.933729,119.625724,36.23591
129.777088,130.071995,48.6045
124.03761,125.376587,42.36805
126.668638,127.721784,44.47173
123.29821,124.841204,42.13177
127.194252,127.679074,45.44004
133.306061,133.622739,51.99818
126.915714,128.048833,44.19284
125.160811,126.789791,44.43472
125.414771,127.066461,43.30744
126.573294,127.623608,45.43464
123.939467,126.214647,42.40654
126.841173,130.044153,46.59477
127.945754,130.326663,47.56272
129.070727,131.063102,48.85959
129.23053,130.534568,47.4738
134.747282,136.224579,52.62395
131.660274,132.875964,48.90158
130.378689,131.315171,46.64334
133.116627,135.067016,49.51042
129.756882,130.806716,43.05803
129.697421,131.678411,41.64276
135.735538,136.309452,46.35324
129.315875,130.402953,42.28944
134.662916,135.008312,44.21979
127.641941,129.104145,36.8672
127.005629,128.040135,37.6818
128.839647,130.083497,39.75856
128.362801,129.391492,40.76839
124.1995,124.964149,34.77451
129.755478,129.969322,39.25739
125.216838,125.460978,39.23222
128.083006,128.599233,43.49748
128.841914,129.225885,41.80439
134.388621,134.663426,47.37389
127.214867,129.234113,38.989
124.553898,125.965047,33.43675
129.13962,129.545068,39.57263
123.651914,123.881596,31.87822
128.466598,128.818441,43.24442
127.81513,128.58326,37.2327
126.882523,127.17917,41.57852
115.81307,118.604311,32.97232
124.553955,124.884188,40.72857
130.203867,130.443911,47.79603
133.337026,133.399429,52.0537
128.124513,128.265339,48.17152
125.741351,126.146265,46.38666
