Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Note	CEE
1	Spectrogram 1	1	418.712444993	418.712444993	11250.000	11250.000	clicks?	
3	Spectrogram 1	1	1637.613733498	1637.613733498	7670.500	7670.500	start breath	
4	Spectrogram 1	1	1855.313303441	1855.313303441	1022.700	1022.700	end breath	
5	Spectrogram 1	1	5800.966483853	5800.966483853	4421.100	4421.100	start breath	
6	Spectrogram 1	1	7105.720964501	7105.720964501	4815.800	4815.800	start breath	
7	Spectrogram 1	1	8294.310210113	8294.310210113	4065.800	4065.800		y
10	Spectrogram 1	1	8319.142633544	8319.142633544	3789.500	3789.500		y
11	Spectrogram 1	1	8294.450506291	8294.450506291	4026.300	4026.300		y
12	Spectrogram 1	1	8319.423225900	8319.423225900	3789.500	3789.500		y
13	Spectrogram 1	1	8343.975056976	8343.975056976	3789.500	3789.500		y
14	Spectrogram 1	1	8369.228368940	8369.228368940	3789.500	3789.500		y
15	Spectrogram 1	1	8393.780200016	8393.780200016	3789.500	3789.500		y
16	Spectrogram 1	1	8418.612623448	8418.612623448	3710.500	3710.500		y
17	Spectrogram 1	1	8444.006231589	8444.006231589	3750.000	3750.000		y
18	Spectrogram 1	1	8583.460636269	8583.460636269	4016.100	4016.100	breath start	
19	Spectrogram 1	1	8469.399843898	8469.399843898	3774.200	3774.200		y
20	Spectrogram 1	1	8494.512859684	8494.512859684	3967.700	3967.700		y
21	Spectrogram 1	1	8518.643802228	8518.643802228	3967.700	3967.700		y
22	Spectrogram 1	1	8544.177706547	8544.177706547	3967.700	3967.700		y
23	Spectrogram 1	1	8569.431018511	8569.431018511	3871.000	3871.000		y
24	Spectrogram 1	1	8593.842553410	8593.842553410	3774.200	3774.200		y
25	Spectrogram 1	1	8618.955569197	8618.955569197	3677.400	3677.400		y
26	Spectrogram 1	1	8668.339827871	8668.339827871	3774.200	3774.200		y
27	Spectrogram 1	1	8694.294620723	8694.294620723	3774.200	3774.200		y
28	Spectrogram 1	1	8719.127044154	8719.127044154	3967.700	3967.700		y
29	Spectrogram 1	1	8744.240059941	8744.240059941	3774.200	3774.200		y
30	Spectrogram 1	1	8768.932187195	8768.932187195	3919.400	3919.400		y
