"id_code","Sightno","Date","Vessel"
"Zca_049_HAT","S1","5/12/2018","R/V R.T. Barber"
"Zca_050_HAT","S3","5/12/2018","R/V R.T. Barber"
"Zca_Rakes_003_HAT","S1","5/12/2018","R/V R.T. Barber"
"Zca_Rakes_078_HAT","S1","5/12/2018","R/V R.T. Barber"
"Zca_Rakes_079_HAT","S1","5/12/2018","R/V R.T. Barber"
"Zca_Rakes_080_HAT","S1","5/12/2018","R/V R.T. Barber"
"Zca_Rakes_081_HAT","S1","5/12/2018","R/V R.T. Barber"
"Zca_035_HAT","S2","6/3/2018","R/V R.T. Barber"
"Zca_051_HAT","S2","6/3/2018","R/V R.T. Barber"
"Zca_052_HAT","S2","6/3/2018","R/V R.T. Barber"
"Zca_Rakes_085_HAT","S2","6/3/2018","R/V R.T. Barber"
"Zca_051_HAT","S2","6/16/2018","R/V R.T. Barber"
"Zca_Rakes_035_HAT","S2","6/16/2018","R/V R.T. Barber"
"Zca_Rakes_079_HAT","S2","6/16/2018","R/V R.T. Barber"
"Zca_Rakes_085_HAT","S2","6/16/2018","R/V R.T. Barber"
"Zca_032_HAT","S14","8/5/2018","R/V R.T. Barber"
"Zca_055_HAT","S9","8/5/2018","R/V R.T. Barber"
"Zca_056_HAT","S9","8/5/2018","R/V R.T. Barber"
"Zca_061_HAT","S9","8/5/2018","R/V R.T. Barber"
"Zca_062_HAT","S14","8/5/2018","R/V R.T. Barber"
"Zca_Rakes_079_HAT","S14","8/5/2018","R/V R.T. Barber"
"Zca_002_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_035_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_050_HAT","S8","8/6/2018","R/V R.T. Barber"
"Zca_053_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_063_HAT","S8","8/6/2018","R/V R.T. Barber"
"Zca_Rakes_059_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_Rakes_092_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_Rakes_093_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_Rakes_094_HAT","S4","8/6/2018","R/V R.T. Barber"
"Zca_Rakes_096_HAT","S8","8/6/2018","R/V R.T. Barber"
"Zca_Rakes_097_HAT","S8","8/6/2018","R/V R.T. Barber"
"20180807_S3_Zca_Number9","S3","8/7/2018","R/V R.T. Barber"
"Zca_003_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_038_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_054_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_Rakes_008_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_Rakes_071_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_Rakes_099_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_Rakes_100_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_Rakes_101_HAT","S3","8/7/2018","R/V R.T. Barber"
"Zca_002_HAT","K1","8/7/2018","F/V Kahuna"
"Zca_003_HAT","K2","8/7/2018","F/V Kahuna"
"Zca_035_HAT","K1","8/7/2018","F/V Kahuna"
"Zca_038_HAT","K2","8/7/2018","F/V Kahuna"
"Zca_050_HAT","K3","8/7/2018","F/V Kahuna"
"Zca_053_HAT","K1","8/7/2018","F/V Kahuna"
"Zca_054_HAT","K2","8/7/2018","F/V Kahuna"
"Zca_063_HAT","K3","8/7/2018","F/V Kahuna"
"Zca_Rakes_008_HAT","K2","8/7/2018","F/V Kahuna"
"Zca_Rakes_059_HAT","K1","8/7/2018","F/V Kahuna"
"Zca_Rakes_092_HAT","K1","8/7/2018","F/V Kahuna"
"Zca_Rakes_094_HAT","K1","8/7/2018","F/V Kahuna"
"Zca_Rakes_096_HAT","K3","8/7/2018","F/V Kahuna"
"Zca_Rakes_097_HAT","K3","8/7/2018","F/V Kahuna"
"Zca_Rakes_099_HAT","K2","8/7/2018","F/V Kahuna"
"Zca_035_HAT","S2","8/10/2018","R/V R.T. Barber"
"Zca_053_HAT","K3","8/14/2018","F/V Kahuna"
"Zca_054_HAT","K3","8/14/2018","F/V Kahuna"
"Zca_066_HAT","K3","8/14/2018","F/V Kahuna"
"Zca_Rakes_059_HAT","K3","8/14/2018","F/V Kahuna"
"Zca_Rakes_092_HAT","K3","8/14/2018","F/V Kahuna"
"Zca_050_HAT","K6","8/20/2018","F/V Kahuna"
"Zca_Rakes_096_HAT","K6","8/20/2018","F/V Kahuna"
"Zca_Rakes_097_HAT","K6","8/20/2018","F/V Kahuna"
"Zca_053_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_054_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_066_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_Rakes_059_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_Rakes_092_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_Rakes_099_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_Rakes_104_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_Rakes_105_HAT","K2","8/21/2018","F/V Kahuna"
"Zca_Rakes_079_HAT","K4","8/26/2018","F/V Kahuna"
"Zca_Rakes_113_HAT","K4","8/26/2018","F/V Kahuna"
"Zca_035_HAT","S11","8/26/2018","R/V R.T. Barber"
"20180827_S1_Zca_Number5","S1","8/27/2018","R/V R.T. Barber"
"Zca_050_HAT","S1","8/27/2018","R/V R.T. Barber"
"Zca_Rakes_044_HAT","S1","8/27/2018","R/V R.T. Barber"
"Zca_Rakes_097_HAT","S1","8/27/2018","R/V R.T. Barber"
"Zca_Rakes_115_HAT","S1","8/27/2018","R/V R.T. Barber"
"Zca_050_HAT","K4","8/28/2018","F/V Kahuna"
"Zca_Rakes_044_HAT","K4","8/28/2018","F/V Kahuna"
"Zca_Rakes_097_HAT","K4","8/28/2018","F/V Kahuna"
"Zca_054_HAT","K4","8/29/2018","F/V Kahuna"
"Zca_066_HAT","K4","8/29/2018","F/V Kahuna"
"Zca_Rakes_059_HAT","K4","8/29/2018","F/V Kahuna"
"Zca_Rakes_092_HAT","K4","8/29/2018","F/V Kahuna"
"Zca_Rakes_095_HAT","K4","8/29/2018","F/V Kahuna"
"Zca_Rakes_099_HAT","K4","8/29/2018","F/V Kahuna"
"Zca_071_HAT","S7","5/11/2019","R/V R.T. Barber"
"Zca_Rakes_121_HAT","S7","5/11/2019","R/V R.T. Barber"
"Zca_Rakes_121_HAT","HW5","5/21/2019","F/V Hog Wild"
"Zca_Rakes_125_HAT","HW5","5/21/2019","F/V Hog Wild"
"Zca_076_HAT","S2","5/28/2019","R/V R.T. Barber"
"Zca_076_HAT","S3","5/28/2019","R/V R.T. Barber"
"Zca_Rakes_077_HAT","S2","5/28/2019","R/V R.T. Barber"
"Zca_Rakes_130_HAT","S2","5/28/2019","R/V R.T. Barber"
"Zca_Rakes_131_HAT","S2","5/28/2019","R/V R.T. Barber"
"Zca_Rakes_121_HAT","HW6","6/2/2019","F/V Hog Wild"
"Zca_Rakes_132_HAT","HW6","6/2/2019","F/V Hog Wild"
"Zca_076_HAT","S1","6/2/2019","R/V R.T. Barber"
"Zca_Rakes_121_HAT","S3","6/2/2019","R/V R.T. Barber"
"Zca_Rakes_129_HAT","S3","6/2/2019","R/V R.T. Barber"
"Zca_Rakes_132_HAT","S3","6/2/2019","R/V R.T. Barber"
"Zca_076_HAT","S2","7/30/2019","R/V R.T. Barber"
"Zca_086_HAT","S2","7/30/2019","R/V R.T. Barber"
"Zca_087_HAT","S1","7/30/2019","R/V R.T. Barber"
"Zca_088_HAT","S1","7/30/2019","R/V R.T. Barber"
"Zca_Rakes_023_HAT","S1","7/30/2019","R/V R.T. Barber"
"Zca_Rakes_139_HAT","S1","7/30/2019","R/V R.T. Barber"
"Zca_Rakes_140_HAT","S2","7/30/2019","R/V R.T. Barber"
"Zca_Rakes_141_HAT","S2","7/30/2019","R/V R.T. Barber"
"Zca_087_HAT","K2","8/4/2019","F/V Kahuna"
"Zca_Rakes_023_HAT","K2","8/4/2019","F/V Kahuna"
"Zca_Rakes_139_HAT","K2","8/4/2019","F/V Kahuna"
"Zca_Rakes_146_HAT","K2","8/4/2019","F/V Kahuna"
"Zca_087_HAT","K3","8/5/2019","F/V Kahuna"
"Zca_Rakes_023_HAT","K3","8/5/2019","F/V Kahuna"
"Zca_Rakes_139_HAT","K3","8/5/2019","F/V Kahuna"
"Zca_061_HAT","S1","8/6/2019","R/V R.T. Barber"
"Zca_087_HAT","S1","8/6/2019","R/V R.T. Barber"
"Zca_Rakes_023_HAT","S1","8/6/2019","R/V R.T. Barber"
"Zca_Rakes_139_HAT","S1","8/6/2019","R/V R.T. Barber"
"Zca_087_HAT","K6","8/7/2019","F/V Kahuna"
"Zca_Rakes_023_HAT","K6","8/7/2019","F/V Kahuna"
"Zca_Rakes_139_HAT","K6","8/7/2019","F/V Kahuna"
"Zca_Rakes_149_HAT","K6","8/7/2019","F/V Kahuna"
"Zca_040_HAT","K1","8/10/2019","F/V Kahuna"
"Zca_Rakes_139_HAT","K1","8/10/2019","F/V Kahuna"
